Device,Prog/Data BPs,Data BP Access,ANDed BPs,Sequenced BPs,Range BPs,Table R/W BPs,Pass Count,Break - Clk Sw,Break - Sleep,Break - Stack,Break - WDT,Stopwatch,Runtime Reads,Stack Snapshot,Runtime BPs,SW BPs,Trace,Analyzer
PIC12LF1501,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC12LF1552,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC12LF1571,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC12LF1572,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC12LF1612,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC12LF1822,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC12LF1840,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC12LF1840T39A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC12LF1840T48A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C432,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C433,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C505,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C54,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C54C,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C55,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C554,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C557,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C558,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C55A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C56,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C56A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C57,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C57C,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C58A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C58B,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C620,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C620A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C621,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C621A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C622,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C622A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C62A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C62B,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C63,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
