Device,ADC,Bootswap,CCP,CLC,COG,Comp,CVREF,CoreTimer,CRC,CWG,DeepSleep,DMA,DSM,EEFlash,FVR,GPIO,HLT,IC,INT,IOC,OC,Osc,Ports,PPS,PWM,PullUp,RTSP,SMT,Timer,UART,VREF,WDT
PIC10F200,,,,,,,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC10F202,,,,,,,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC10F204,,,,,,COMP1,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC10F206,,,,,,COMP1,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC10F220,ADC,,,,,,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC10F222,ADC,,,,,,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC10F320;PIC10LF320,ADC,,,CLC1,,,,,,CWG1,,,,EEFlash,FVR,,,,INT,IOC,,NCO;OSC,PORTA,,PWM1;PWM2,PullUp,,,TMR0;TMR2,,,WDT
PIC10F322;PIC10LF322,ADC,,,CLC1,,,,,,CWG1,,,,EEFlash,FVR,,,,INT,IOC,,NCO;OSC,PORTA,,PWM1;PWM2,PullUp,,,TMR0;TMR2,,,WDT
PIC12C508,,,,,,,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC12C508A,,,,,,,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC12C509,,,,,,,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC12C509A,,,,,,,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC12C671,ADC,,,,,,,,,,,,,,,GPIO,,,INT,IOC,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC12C672,ADC,,,,,,,,,,,,,,,GPIO,,,INT,IOC,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC12CE518,,,,,,,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC12CE519,,,,,,,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC12CE673,ADC,,,,,,,,,,,,,,,GPIO,,,INT,IOC,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC12CE674,ADC,,,,,,,,,,,,,,,GPIO,,,INT,IOC,,OSC,,,,PullUp,,,TMR0,,,WDT
PIC12CR509A,,,,,,,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
