,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device,Prog/Data BPs,Data BP Access,ANDed BPs,Sequenced BPs,Range BPs,Table R/W BPs,Pass Count,Break - Clk Sw,Break - Sleep,Break - Stack,Break - WDT,Stopwatch,Debug Reads,Stack Snapshot,PKOB Support,Runtime BPs,SW BPs,App IO,Data Capture,Realtime Watch,Native Trace,Port Trace,SPI Trace,Inst Trace,Jump Trace,PC Sampling,FLP,
PIC16LF18345,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF18346,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF1847,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF1847 using AC244047,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF1847 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16LF18854,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF18855,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF18856,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF18857,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF18875,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF18876,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF18877,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF1902,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF1903,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF1904,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF1906,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF1907,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF19195,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF19196,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF19197,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF1933,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF1933 using AC244036,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF1933 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16LF1934,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF1934 using AC244036,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF1934 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16LF1936,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF1936 using AC244036,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF1936 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16LF1937,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF1937 using AC244036,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF1937 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16LF1938,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF1938 using AC244036,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF1938 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16LF1939,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF1939 using AC244036,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF1939 using AC244055,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16LF1946,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF1947,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF627,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16LF627A using AC162053,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF628,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16LF628A using AC162053,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF648A using AC162053,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF707,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF720,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF721,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF722,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF722 using AC244027,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF722A,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF723,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF723 using AC244027,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF723A,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF724,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF724 using AC244027,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF726,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF726 using AC244027,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF727,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF727 using AC244027,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16LF74,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16LF747,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF76,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16LF767,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF77,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16LF777,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF818,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF819,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF83,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16LF84,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16LF84A,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC16LF87,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF870,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF871,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF872,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF873,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF873A,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF874,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF874A,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF876,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF876A,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF877,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF877A,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16LF88,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC18F1220,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F1230,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F1230 using AC162078,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F1320,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F1330,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F1330 using AC162078,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F13K22,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F13K22 using AC244033,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F13K50 using AC244023,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F14K22,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F14K22 using AC244033,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F14K22LIN,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F14K50 using AC244023,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F2220,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2221,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2320,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2321,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2331,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F23K20,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F23K22,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F2410,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F242,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2420,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2423,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2431,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2450,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2455,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2458,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F248,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2480,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F24J10,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F24J10 using AC162067,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F24J11,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F24J50,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F24K20,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F24K22,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F24K40,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,No:RI-No:ICD3-N/A:PK3,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC18F24K42,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,No:RI-No:ICD3-N/A:PK3,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC18F24K50,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F2510,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2515,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F252,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2520,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2523,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2525,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2550,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2553,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F258,1 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2580,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F2585,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F25J10,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F25J10 using AC162067,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F25J11,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F25J50,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,
PIC18F25K20,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F25K22,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,N/A,N/A,Yes,Yes,N/A,No,No,No,Yes,Yes,Yes,No,No,No,No,
PIC18F25K40,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,No:RI-No:ICD3-N/A:PK3,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
